PAW protein_summary_9 results file
written: Sat Jun 20 13:37:25 2020

 	=subtotal(109,B6:B8685)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	x
9.0	1	CONT_025|gi|346581|pir||S29094	contaminant	13.5	503	55342	keratin, type II, component 5, cytoskeletal [sheep, wool, Peptide, 503 aa].	40	0	0.000	26	14	0	0	0.000	0.000	CONT_025|gi|346581|pir||S29094, CONT_041|gi|109048|pir||S22025, CONT_071|gi|181400, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_109|gi|125116|sp|P15241|K2M2_SHEEP, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_140|gi|88045|pir||S05602, CONT_154|gi|1181996, sp|O95678|K2C75_HUMAN, sp|P08670|VIME_HUMAN, sp|P08729|K2C7_HUMAN, sp|P12035|K2C3_HUMAN, sp|P14136|GFAP_HUMAN, sp|Q01546|K22O_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|Q8N1N4|K2C78_HUMAN, sp|Q9NSB2|KRT84_HUMAN
9.0001	1	CONT_110|gi|125117|sp|P25691|K2M3_SHEEP	redundant	13.5	502	55255	KERATIN, TYPE II MICROFIBRILLAR, COMPONENT 5 [Ovis aries].	40	0	0.000	26	14	0	0	0.000	0.000	CONT_025|gi|346581|pir||S29094, CONT_041|gi|109048|pir||S22025, CONT_071|gi|181400, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_109|gi|125116|sp|P15241|K2M2_SHEEP, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_140|gi|88045|pir||S05602, CONT_154|gi|1181996, sp|O95678|K2C75_HUMAN, sp|P08670|VIME_HUMAN, sp|P08729|K2C7_HUMAN, sp|P12035|K2C3_HUMAN, sp|P14136|GFAP_HUMAN, sp|Q01546|K22O_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|Q8N1N4|K2C78_HUMAN, sp|Q9NSB2|KRT84_HUMAN
10.0	1	CONT_041|gi|109048|pir||S22025	contaminant	19.3	508	55245	keratin type II, KII-9, hair [Ovis aries].	48	1	0.021	28	20	0	1	0.000	5.144	CONT_025|gi|346581|pir||S29094, CONT_041|gi|109048|pir||S22025, CONT_071|gi|181400, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_109|gi|125116|sp|P15241|K2M2_SHEEP, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_140|gi|88045|pir||S05602, CONT_154|gi|1181996, sp|O95678|K2C75_HUMAN, sp|P08670|VIME_HUMAN, sp|P08729|K2C7_HUMAN, sp|P12035|K2C3_HUMAN, sp|P14136|GFAP_HUMAN, sp|Q01546|K22O_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|Q8N1N4|K2C78_HUMAN, sp|Q9NSB2|KRT84_HUMAN
11.0	1	CONT_047|gi|88042|pir||S14666	contaminant	40.2	453	48204	keratin 10, type I, cytoskeletal (clone IIB5) (fragment) [Homo sapiens].	153	1	0.007	55	98	1	0	4.078	0.000	CONT_047|gi|88042|pir||S14666, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_146|gi|2119208|pir||I37459, CONT_156|gi|1363944|pir||JC4313, CONT_165|gi|2497269|sp|Q99456|K1CL_HUMAN, CONT_167|gi|1668744|gnl|PID|e195475, sp|P13646|K1C13_HUMAN, sp|Q2M2I5|K1C24_HUMAN
12.0	1	CONT_060|gi|542923|pir||S37780	contaminant	3.8	424	48571	keratin 20, cytoskeletal [Homo sapiens].	3	0	0.000	2	1	0	0	0.500	0.000	CONT_060|gi|542923|pir||S37780, CONT_074|gi|1070608|pir||KRHU9, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313, CONT_165|gi|2497269|sp|Q99456|K1CL_HUMAN, sp|P13646|K1C13_HUMAN, sp|Q8N1A0|KT222_HUMAN
12.0001	1	CONT_095|gi|547750|sp|P35900|K1CT_HUMAN	redundant	3.8	424	48486	KERATIN, TYPE I CYTOSKELETAL 20 (CYTOKERATIN 20) (K20) (CK 20) [Homo sapiens].	3	0	0.000	2	1	0	0	0.500	0.000	CONT_060|gi|542923|pir||S37780, CONT_074|gi|1070608|pir||KRHU9, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313, CONT_165|gi|2497269|sp|Q99456|K1CL_HUMAN, sp|P13646|K1C13_HUMAN, sp|Q8N1A0|KT222_HUMAN
12.0002	1	CONT_096|gi|2119209|pir||I37358	redundant	4.7	339	39294	cytokeratin 20 (fragment) [Homo sapiens].	3	0	0.000	2	1	0	0	0.500	0.000	CONT_060|gi|542923|pir||S37780, CONT_074|gi|1070608|pir||KRHU9, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313, CONT_165|gi|2497269|sp|Q99456|K1CL_HUMAN, sp|P13646|K1C13_HUMAN, sp|Q8N1A0|KT222_HUMAN
12.0003	1	sp|P35900|K1C20_HUMAN	redundant	3.8	424	48486	Keratin, type I cytoskeletal 20 OS=Homo sapiens (Human) OX=9606 GN=KRT20 PE=1 SV=1	3	0	0.000	2	1	0	0	0.500	0.000	CONT_060|gi|542923|pir||S37780, CONT_074|gi|1070608|pir||KRHU9, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313, CONT_165|gi|2497269|sp|Q99456|K1CL_HUMAN, sp|P13646|K1C13_HUMAN, sp|Q8N1A0|KT222_HUMAN
13.0	1	CONT_064|gi|254622|bbs|112352	contaminant	35.0	645	65911	(S43646) cytokeratin 2, CK 2 [human, epidermis, Peptide, 645 aa].	128	32	0.250	69	59	16	16	25.557	28.591	CONT_064|gi|254622|bbs|112352, CONT_071|gi|181400, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_140|gi|88045|pir||S05602, sp|O95678|K2C75_HUMAN, sp|P04264|K2C1_HUMAN, sp|P08729|K2C7_HUMAN, sp|P12035|K2C3_HUMAN, sp|P12036|NFH_HUMAN, sp|Q01546|K22O_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|Q86Y46|K2C73_HUMAN, sp|Q8N1N4|K2C78_HUMAN, sp|Q9NSB2|KRT84_HUMAN
13.0001	1	CONT_072|gi|547754|sp|P35908|K22E_HUMAN	redundant	35.0	645	65865	KERATIN, TYPE II CYTOSKELETAL 2 EPIDERMAL (CYTOKERATIN 2E) (K2E) (CK 2E) [Homo sapiens].	128	32	0.250	69	59	16	16	25.557	28.591	CONT_064|gi|254622|bbs|112352, CONT_071|gi|181400, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_140|gi|88045|pir||S05602, sp|O95678|K2C75_HUMAN, sp|P04264|K2C1_HUMAN, sp|P08729|K2C7_HUMAN, sp|P12035|K2C3_HUMAN, sp|P12036|NFH_HUMAN, sp|Q01546|K22O_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|Q86Y46|K2C73_HUMAN, sp|Q8N1N4|K2C78_HUMAN, sp|Q9NSB2|KRT84_HUMAN
13.0002	1	sp|P35908|K22E_HUMAN	redundant	35.4	639	65432	Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens (Human) OX=9606 GN=KRT2 PE=1 SV=2	128	32	0.250	69	59	16	16	25.557	28.591	CONT_064|gi|254622|bbs|112352, CONT_071|gi|181400, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_140|gi|88045|pir||S05602, sp|O95678|K2C75_HUMAN, sp|P04264|K2C1_HUMAN, sp|P08729|K2C7_HUMAN, sp|P12035|K2C3_HUMAN, sp|P12036|NFH_HUMAN, sp|Q01546|K22O_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|Q86Y46|K2C73_HUMAN, sp|Q8N1N4|K2C78_HUMAN, sp|Q9NSB2|KRT84_HUMAN
14.0	1	CONT_068|gi|1082558|pir||S41161	contaminant	35.2	623	62129	keratin 9, cytoskeletal [Homo sapiens].	39	37	0.949	15	24	13	24	14.238	24.000	CONT_047|gi|88042|pir||S14666, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313, CONT_165|gi|2497269|sp|Q99456|K1CL_HUMAN
14.0001	1	sp|P35527|K1C9_HUMAN	redundant	35.2	623	62064	Keratin, type I cytoskeletal 9 OS=Homo sapiens (Human) OX=9606 GN=KRT9 PE=1 SV=3	39	37	0.949	15	24	13	24	14.238	24.000	CONT_047|gi|88042|pir||S14666, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313, CONT_165|gi|2497269|sp|Q99456|K1CL_HUMAN
15.0	1	CONT_071|gi|181400	contaminant	62.7	483	53689	(M34225) cytokeratin 8 [Homo sapiens].	1560	6	0.004	682	878	4	2	24.161	18.436	CONT_025|gi|346581|pir||S29094, CONT_041|gi|109048|pir||S22025, CONT_064|gi|254622|bbs|112352, CONT_071|gi|181400, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_102|gi|88044|pir||S01068, CONT_109|gi|125116|sp|P15241|K2M2_SHEEP, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_140|gi|88045|pir||S05602, CONT_154|gi|1181996, sp|O95678|K2C75_HUMAN, sp|P04264|K2C1_HUMAN, sp|P08670|VIME_HUMAN, sp|P08729|K2C7_HUMAN, sp|P12035|K2C3_HUMAN, sp|P14136|GFAP_HUMAN, sp|Q01546|K22O_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|Q86Y46|K2C73_HUMAN, sp|Q8N1N4|K2C78_HUMAN, sp|Q9NSB2|KRT84_HUMAN
16.0	1	CONT_073|gi|87303|pir||JS0487	contaminant	78.2	482	53561	cytokeratin 8 (version 1) [Homo sapiens].	1989	227	0.114	883	1106	124	103	760.481	962.940	CONT_025|gi|346581|pir||S29094, CONT_041|gi|109048|pir||S22025, CONT_064|gi|254622|bbs|112352, CONT_071|gi|181400, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_102|gi|88044|pir||S01068, CONT_109|gi|125116|sp|P15241|K2M2_SHEEP, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_140|gi|88045|pir||S05602, CONT_154|gi|1181996, sp|O95678|K2C75_HUMAN, sp|P04264|K2C1_HUMAN, sp|P08670|VIME_HUMAN, sp|P08729|K2C7_HUMAN, sp|P12035|K2C3_HUMAN, sp|P14136|GFAP_HUMAN, sp|P17661|DESM_HUMAN, sp|P41219|PERI_HUMAN, sp|Q01546|K22O_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|Q6KB66|K2C80_HUMAN, sp|Q86Y46|K2C73_HUMAN, sp|Q8N1N4|K2C78_HUMAN, sp|Q9NSB2|KRT84_HUMAN
16.0001	1	CONT_103|gi|2119212|pir||I37982	redundant	78.1	483	53704	Keratin 8 - human [Homo sapiens].	1989	227	0.114	883	1106	124	103	760.481	962.940	CONT_025|gi|346581|pir||S29094, CONT_041|gi|109048|pir||S22025, CONT_064|gi|254622|bbs|112352, CONT_071|gi|181400, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_102|gi|88044|pir||S01068, CONT_109|gi|125116|sp|P15241|K2M2_SHEEP, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_140|gi|88045|pir||S05602, CONT_154|gi|1181996, sp|O95678|K2C75_HUMAN, sp|P04264|K2C1_HUMAN, sp|P08670|VIME_HUMAN, sp|P08729|K2C7_HUMAN, sp|P12035|K2C3_HUMAN, sp|P14136|GFAP_HUMAN, sp|P17661|DESM_HUMAN, sp|P41219|PERI_HUMAN, sp|Q01546|K22O_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|Q6KB66|K2C80_HUMAN, sp|Q86Y46|K2C73_HUMAN, sp|Q8N1N4|K2C78_HUMAN, sp|Q9NSB2|KRT84_HUMAN
16.0002	1	CONT_179|gi|2506774|sp|P05787|K2C8_HUMAN	redundant	78.1	483	53674	KERATIN, TYPE II CYTOSKELETAL 8 (CYTOKERATIN 8) (K8) (CK 8) [Homo sapiens].	1989	227	0.114	883	1106	124	103	760.481	962.940	CONT_025|gi|346581|pir||S29094, CONT_041|gi|109048|pir||S22025, CONT_064|gi|254622|bbs|112352, CONT_071|gi|181400, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_102|gi|88044|pir||S01068, CONT_109|gi|125116|sp|P15241|K2M2_SHEEP, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_140|gi|88045|pir||S05602, CONT_154|gi|1181996, sp|O95678|K2C75_HUMAN, sp|P04264|K2C1_HUMAN, sp|P08670|VIME_HUMAN, sp|P08729|K2C7_HUMAN, sp|P12035|K2C3_HUMAN, sp|P14136|GFAP_HUMAN, sp|P17661|DESM_HUMAN, sp|P41219|PERI_HUMAN, sp|Q01546|K22O_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|Q6KB66|K2C80_HUMAN, sp|Q86Y46|K2C73_HUMAN, sp|Q8N1N4|K2C78_HUMAN, sp|Q9NSB2|KRT84_HUMAN
16.0003	1	sp|P05787|K2C8_HUMAN	redundant	78.1	483	53704	Keratin, type II cytoskeletal 8 OS=Homo sapiens (Human) OX=9606 GN=KRT8 PE=1 SV=7	1989	227	0.114	883	1106	124	103	760.481	962.940	CONT_025|gi|346581|pir||S29094, CONT_041|gi|109048|pir||S22025, CONT_064|gi|254622|bbs|112352, CONT_071|gi|181400, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_102|gi|88044|pir||S01068, CONT_109|gi|125116|sp|P15241|K2M2_SHEEP, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_140|gi|88045|pir||S05602, CONT_154|gi|1181996, sp|O95678|K2C75_HUMAN, sp|P04264|K2C1_HUMAN, sp|P08670|VIME_HUMAN, sp|P08729|K2C7_HUMAN, sp|P12035|K2C3_HUMAN, sp|P14136|GFAP_HUMAN, sp|P17661|DESM_HUMAN, sp|P41219|PERI_HUMAN, sp|Q01546|K22O_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|Q6KB66|K2C80_HUMAN, sp|Q86Y46|K2C73_HUMAN, sp|Q8N1N4|K2C78_HUMAN, sp|Q9NSB2|KRT84_HUMAN
17.0	1	CONT_074|gi|1070608|pir||KRHU9	contaminant	26.5	400	44091	keratin 19, type I, cytoskeletal [Homo sapiens].	184	8	0.043	77	107	0	8	0.000	15.403	CONT_047|gi|88042|pir||S14666, CONT_060|gi|542923|pir||S37780, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_146|gi|2119208|pir||I37459, CONT_156|gi|1363944|pir||JC4313, CONT_165|gi|2497269|sp|Q99456|K1CL_HUMAN, CONT_167|gi|1668744|gnl|PID|e195475, sp|P13646|K1C13_HUMAN, sp|Q2M2I5|K1C24_HUMAN, sp|Q8N1A0|KT222_HUMAN
17.0001	1	CONT_099|gi|417200|sp|P08727|K1CS_HUMAN	redundant	26.5	400	44105	KERATIN, TYPE I CYTOSKELETAL 19 (CYTOKERATIN 19) (K19) (CK 19) [Homo sapiens].	184	8	0.043	77	107	0	8	0.000	15.403	CONT_047|gi|88042|pir||S14666, CONT_060|gi|542923|pir||S37780, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_146|gi|2119208|pir||I37459, CONT_156|gi|1363944|pir||JC4313, CONT_165|gi|2497269|sp|Q99456|K1CL_HUMAN, CONT_167|gi|1668744|gnl|PID|e195475, sp|P13646|K1C13_HUMAN, sp|Q2M2I5|K1C24_HUMAN, sp|Q8N1A0|KT222_HUMAN
17.0002	1	sp|P08727|K1C19_HUMAN	redundant	26.5	400	44105	Keratin, type I cytoskeletal 19 OS=Homo sapiens (Human) OX=9606 GN=KRT19 PE=1 SV=4	184	8	0.043	77	107	0	8	0.000	15.403	CONT_047|gi|88042|pir||S14666, CONT_060|gi|542923|pir||S37780, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_146|gi|2119208|pir||I37459, CONT_156|gi|1363944|pir||JC4313, CONT_165|gi|2497269|sp|Q99456|K1CL_HUMAN, CONT_167|gi|1668744|gnl|PID|e195475, sp|P13646|K1C13_HUMAN, sp|Q2M2I5|K1C24_HUMAN, sp|Q8N1A0|KT222_HUMAN
18.0	1	CONT_076|gi|125083|sp|P05783|K1CR_HUMAN	contaminant	77.9	430	48057	KERATIN, TYPE I CYTOSKELETAL 18 (CYTOKERATIN 18) (K18) (CK 18) [Homo sapiens].	1155	946	0.819	608	547	506	440	607.349	541.966	CONT_047|gi|88042|pir||S14666, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_146|gi|2119208|pir||I37459, CONT_156|gi|1363944|pir||JC4313, CONT_167|gi|1668744|gnl|PID|e195475, sp|P13646|K1C13_HUMAN, sp|Q2M2I5|K1C24_HUMAN
18.0001	1	CONT_077|gi|106851|pir||S06889	redundant	79.0	424	47333	keratin 18, cytoskeletal (fragment) [Homo sapiens].	1155	946	0.819	608	547	506	440	607.349	541.966	CONT_047|gi|88042|pir||S14666, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_146|gi|2119208|pir||I37459, CONT_156|gi|1363944|pir||JC4313, CONT_167|gi|1668744|gnl|PID|e195475, sp|P13646|K1C13_HUMAN, sp|Q2M2I5|K1C24_HUMAN
18.0002	1	sp|P05783|K1C18_HUMAN	redundant	77.9	430	48057	Keratin, type I cytoskeletal 18 OS=Homo sapiens (Human) OX=9606 GN=KRT18 PE=1 SV=2	1155	946	0.819	608	547	506	440	607.349	541.966	CONT_047|gi|88042|pir||S14666, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_146|gi|2119208|pir||I37459, CONT_156|gi|1363944|pir||JC4313, CONT_167|gi|1668744|gnl|PID|e195475, sp|P13646|K1C13_HUMAN, sp|Q2M2I5|K1C24_HUMAN
19.0	1	CONT_079|gi|125105|sp|P13647|K2C5_HUMAN	contaminant	29.2	590	62461	KERATIN, TYPE II CYTOSKELETAL 5 (CYTOKERATIN 5) (K5) (CK 5) (58 KD CYTOKERATIN) [Homo sapiens].	150	9	0.060	97	53	4	5	8.589	9.676	CONT_025|gi|346581|pir||S29094, CONT_041|gi|109048|pir||S22025, CONT_064|gi|254622|bbs|112352, CONT_071|gi|181400, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_102|gi|88044|pir||S01068, CONT_109|gi|125116|sp|P15241|K2M2_SHEEP, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_140|gi|88045|pir||S05602, CONT_154|gi|1181996, sp|O95678|K2C75_HUMAN, sp|P04264|K2C1_HUMAN, sp|P08670|VIME_HUMAN, sp|P08729|K2C7_HUMAN, sp|P12035|K2C3_HUMAN, sp|P12036|NFH_HUMAN, sp|P14136|GFAP_HUMAN, sp|Q01546|K22O_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|Q86Y46|K2C73_HUMAN, sp|Q8N1N4|K2C78_HUMAN, sp|Q9NSB2|KRT84_HUMAN
